Microsoft (R) COFF/PE Dumper Version 10.00.30319.01
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file Engine.dll

File Type: DLL

  Section contains the following exports for Engine.dll

    00000000 characteristics
    5D8AB318 time date stamp Wed Sep 25 03:21:44 2019
        0.00 version
           1 ordinal base
        3514 number of functions
        3514 number of names

    ordinal hint RVA      name

          1    0 0004EA10 ??0CAchievement@@QAE@ABV0@@Z
          2    1 0011B000 ??0CAchievement@@QAE@XZ
          3    2 00066980 ??0CAnimData@@QAE@XZ
          4    3 00067DB0 ??0CAnimObject@@QAE@XZ
          5    4 0004EB70 ??0CAnimSet@@QAE@ABV0@@Z
          6    5 001A0920 ??0CAnimSet@@QAE@XZ
          7    6 0004EC20 ??0CAnyProjection3D@@QAE@ABV0@@Z
          8    7 0004ECC0 ??0CAnyProjection3D@@QAE@XZ
          9    8 001B8C80 ??0CArrayHolder@@QAE@XZ
         10    9 0004ED60 ??0CAttachedModel@@QAE@ABV0@@Z
         11    A 000F05F0 ??0CAttachedModel@@QAE@XZ
         12    B 000FE040 ??0CAttachedModelPosition@@QAE@XZ
         13    C 0004EDE0 ??0CAttachedSound@@QAE@ABV0@@Z
         14    D 000F09F0 ??0CAttachedSound@@QAE@XZ
         15    E 0004EE20 ??0CAttachmentModelObject@@QAE@ABV0@@Z
         16    F 0004EEB0 ??0CAttachmentModelObject@@QAE@XZ
         17   10 0017E2A0 ??0CAutoPrecacheModel@@QAE@XZ
         18   11 0017E1D0 ??0CAutoPrecacheSound@@QAE@XZ
         19   12 0017E370 ??0CAutoPrecacheTexture@@QAE@XZ
         20   13 0004EF40 ??0CBoolDefaultFalse@@QAE@XZ
         21   14 0004EF50 ??0CBrush3D@@QAE@ABV0@@Z
         22   15 00185270 ??0CBrush3D@@QAE@XZ
         23   16 0004EFE0 ??0CBrushArchive@@QAE@AAV0@@Z
         24   17 0004F0B0 ??0CBrushArchive@@QAE@XZ
         25   18 0004F130 ??0CBrushBase@@QAE@ABV0@@Z
         26   19 0004F140 ??0CBrushBase@@QAE@XZ
         27   1A 0004F150 ??0CBrushEdge@@QAE@PAVCBrushVertex@@0@Z
         28   1B 0004F170 ??0CBrushEdge@@QAE@XZ
         29   1C 0004F180 ??0CBrushMip@@QAE@AAV0@@Z
         30   1D 00189890 ??0CBrushMip@@QAE@XZ
         31   1E 0004F1E0 ??0CBrushPlane@@QAE@XZ
         32   1F 0004F220 ??0CBrushPolygon@@QAE@ABV0@@Z
         33   20 0004F390 ??0CBrushPolygon@@QAE@XZ
         34   21 0004F520 ??0CBrushPolygonTexture@@QAE@ABV0@@Z
         35   22 0004F570 ??0CBrushPolygonTexture@@QAE@XZ
         36   23 0018D1F0 ??0CBrushSector@@QAE@ABV0@@Z
         37   24 0018CE40 ??0CBrushSector@@QAE@XZ
         38   25 0004F5C0 ??0CBrushShadowLayer@@QAE@ABV0@@Z
         39   26 001911C0 ??0CBrushShadowLayer@@QAE@XZ
         40   27 0004F630 ??0CBrushShadowMap@@QAE@ABV0@@Z
         41   28 00192310 ??0CBrushShadowMap@@QAE@XZ
         42   29 0004F670 ??0CBrushVertex@@QAE@XZ
